County,Name,State,District,Division,Year,TotalPop,Public-Pop,Public-SW,Public-GW,Public-Total,Domestic-SW,Domestic-GW,Domestic-Total,Industrial-SW,Industrial-GW,Industrial-Total,Mining-SW,Mining-GW,Mining-Total,Irrigation-SW,Irrigation-GW,Irrigation-Total,Power-SW,Power-GW,Power-Total,Livestock-SW,Livestock-GW,Livestock-Total,Total-SW,Total-GW,Total-Total
1001,Autauga,AL,SAM,SAD,2010,54571,48222,0,5.09,5.09,0,0.37,0.37,31.14,9.89,41.03,0.04,0.09,0.13,0.06,2.88,2.94,5.84,0,5.84,0.09,0.06,0.15,37.17,18.38,55.55
1003,Baldwin,AL,SAM,SAD,2010,182265,153463,0,22.97,22.97,0,1.71,1.71,0,0,0,0,0.21,0.21,6.66,32.3,38.96,0,0,0,0.19,0.16,0.35,6.85,57.35,64.2
1005,Barbour,AL,SAM,SAD,2010,27457,25555,0,4.15,4.15,0,0.15,0.15,0,1.58,1.58,0.06,0.13,0.19,1.71,0.46,2.17,0,0,0,0.23,0.15,0.38,2,6.62,8.62
1007,Bibb,AL,SAM,SAD,2010,22915,21279,0,4.89,4.89,0,0.15,0.15,0,0,0,0,0.36,0.36,0.06,0.63,0.69,0,0,0,0.04,0.03,0.07,0.1,6.06,6.16
1009,Blount,AL,SAM,SAD,2010,57322,44464,52.17,2.44,54.61,0,0.89,0.89,0,0,0,0,0.12,0.12,0.36,0.12,0.48,0,0,0,0.51,0.47,0.98,53.04,4.04,57.08
1011,Bullock,AL,SAM,SAD,2010,10914,10176,0,2.3,2.3,0,0.08,0.08,0,0,0,0.02,0.04,0.06,0.32,0.29,0.61,0,0,0,0.09,0.05,0.14,0.43,2.76,3.19
1013,Butler,AL,SAM,SAD,2010,20947,17599,0,2.7,2.7,0,0.28,0.28,0,0.3,0.3,0,0,0,0.32,0.02,0.34,0,0,0,0.24,0.16,0.4,0.56,3.46,4.02
1015,Calhoun,AL,SAM,SAD,2010,118572,112390,2.47,20.83,23.3,0,0.51,0.51,0,0.97,0.97,0.03,0.07,0.1,4.09,0,4.09,0,0,0,0.19,0.13,0.32,6.78,22.51,29.29
1017,Chambers,AL,SAM,SAD,2010,34215,25875,4.31,0,4.31,0,0.71,0.71,0,0,0,0,0,0,0.03,0.17,0.2,0,0,0,0.11,0.07,0.18,4.45,0.95,5.4
1019,Cherokee,AL,SAM,SAD,2010,25989,17876,0.96,2.53,3.49,0,0.52,0.52,0,0,0,0,0.01,0.01,1.24,0,1.24,0,0,0,0.17,0.11,0.28,2.37,3.17,5.54
1021,Chilton,AL,SAM,SAD,2010,43643,34330,1.83,3.06,4.89,0,0.74,0.74,0,0.35,0.35,0,0.01,0.01,0.03,1.12,1.15,0,0,0,0.11,0.07,0.18,1.97,5.35,7.32
1023,Choctaw,AL,SAM,SAD,2010,13859,5687,0,1.36,1.36,0,0.62,0.62,40.76,0,40.76,0,0,0,0.03,0,0.03,0,0,0,0.05,0.04,0.09,40.84,2.02,42.86
