County,Name,State,District,Division,Year,TotalPop,Public-Pop,Public-SW,Public-GW,Public-Total,Domestic-SW,Domestic-GW,Domestic-Total,Industrial-SW,Industrial-GW,Industrial-Total,Mining-SW,Mining-GW,Mining-Total,Irrigation-SW,Irrigation-GW,Irrigation-Total,Power-SW,Power-GW,Power-Total,Livestock-SW,Livestock-GW,Livestock-Total,Total-SW,Total-GW,Total-Total
1001,Autauga,AL,SAM,SAD,2005,48612,42956,0,3.18,3.18,0,0.32,0.32,30.63,1.66,32.29,0.14,0.29,0.43,0.38,2.4,2.78,4.14,0,4.14,0.13,0.09,0.22,35.42,7.94,43.36
1003,Baldwin,AL,SAM,SAD,2005,162586,136892,0,21.59,21.59,0,2.48,2.48,0,0,0,0,0.63,0.63,7.05,36.77,43.82,0,0,0,0.24,0.2,0.44,7.29,61.67,68.96
1005,Barbour,AL,SAM,SAD,2005,28414,26447,0,4.15,4.15,0,0.11,0.11,0,1.18,1.18,0.38,0.82,1.2,2.69,0.9,3.59,0,0,0,0.21,0.14,0.35,3.28,7.3,10.58
1007,Bibb,AL,SAM,SAD,2005,21516,19979,0,4.16,4.16,0,0.13,0.13,0,0,0,0,0.17,0.17,0.06,0.03,0.09,0,0,0,0.04,0.03,0.07,0.1,4.52,4.62
1009,Blount,AL,SAM,SAD,2005,55725,43224,13.45,2.74,16.19,0,0.77,0.77,0,0,0,0,0.27,0.27,0.46,0.3,0.76,0,0,0,0.5,0.46,0.96,14.41,4.54,18.95
1011,Bullock,AL,SAM,SAD,2005,11055,10307,0,2.04,2.04,0,0.06,0.06,0,0,0,0.02,0.04,0.06,1.59,1.53,3.12,0,0,0,0.1,0.06,0.16,1.71,3.73,5.44
1013,Butler,AL,SAM,SAD,2005,20766,17445,0,3,3,0,0.19,0.19,0,0.31,0.31,0,0,0,0.5,0.04,0.54,0,0,0,0.21,0.14,0.35,0.71,3.68,4.39
1015,Calhoun,AL,SAM,SAD,2005,112141,106294,2.35,19.75,22.1,0,0.83,0.83,0,1.1,1.1,0.09,0.19,0.28,4.28,0,4.28,0,0,0,0.17,0.12,0.29,6.89,21.99,28.88
1017,Chambers,AL,SAM,SAD,2005,35460,26817,5.24,0,5.24,0,0.58,0.58,2.16,0,2.16,0,0,0,0.06,0.16,0.22,0,0,0,0.12,0.08,0.2,7.58,0.82,8.4
1019,Cherokee,AL,SAM,SAD,2005,24522,16866,1.19,2.02,3.21,0,0.7,0.7,0,0,0,0,0,0,2.62,0,2.62,0,0,0,0.17,0.11,0.28,3.98,2.83,6.81
