state	year	agency	scode	area	po-total	ps-popgw	ps-popsw	ps-popto	ps-wgwfr	ps-wswfr	ps-wtofr	ps-wgwsa	ps-wswsa	ps-wsato	ps-total	ps-loss	ps-deliv	ps-prcap	ps-facil	ps-facdb	co-wgwfr	co-wswfr	co-wtotl	co-psdel	co-total	co-cuse	do-sspop	do-ssgwf	do-ssswf	do-sstot	do-sspcp	do-pspop	do-psdel	do-pspcp	do-total	do-cuse	in-wgwfr	in-wgwsa	in-wgwto	in-wswfr	in-wswsa	in-wswto	in-wtofr	in-wtosa	in-wtotl	in-recww	in-psdel	in-total	in-cufr	in-cusal	in-cuse	in-facil	in-facdb	pt-wgwfr	pt-wswfr	pt-wswsa	pt-wswto	pt-frtot	pt-wtotl	pt-psdel	pt-total	pt-cufr	pt-cusal	pt-cuse	pt-power	pt-facil	pt-facdb	pf-wgwfr	pf-wswfr	pf-wswsa	pf-wswto	pf-frtot	pf-wtotl	pf-psdel	pf-total	pf-cufr	pf-cusal	pf-cuse	pf-power	pf-facil	pf-facdb	pg-wgwfr	pg-wgwsa	pg-wtotl	pg-cufr	pg-cusal	pg-power	pg-facil	pg-facdb	pn-wgwfr	pn-wswfr	pn-wswsa	pn-wswto	pn-frtot	pn-wtotl	pn-psdel	pn-total	pn-cufr	pn-cusal	pn-cuse	pn-power	pn-facil	pn-facdb	mi-wgwfr	mi-wgwsa	mi-gwtot	mi-wswfr	mi-wswsa	mi-swtot	mi-frtot	mi-satot	mi-total	mi-cufr	mi-cusal	mi-cuse	ls-gwtot	ls-swtot	ls-total	ls-cuse	la-gwtot	la-swtot	la-total	la-cuse	lv-gwtot	lv-swtot	lv-total	lv-cuse	ir-wgwfr	ir-wswfr	ir-recww	ir-frtot	ir-spray	ir-flood	ir-irrig	ir-convy	ir-cuse	hy-total	hy-power	hy-facil	hy-facdb	ww-facpu	ww-facot	ww-facil	ww-retrn	ww-facdb	ww-recww	re-evap	re-area	to-gwfr	to-gwsal	to-gwtot	to-swfr	to-swsal	to-swtot	to-frtot	to-satot	to-total	to-recww	to-cufr	to-cusal	to-cuse	to-convy
State	Year				TotalPop																											Public_Pop																																																																																																																																		
AK	1985	USGS	2	10	10.23	0.79	9	9.79	0.04	1.47	1.51	0	0	0	1.51	0.15	1.51	154.24	0	0	0	0	0	0.86	0.86	0.13	0.44	0.01	0	0.01	22.73	9.79	0.5	51.07	0.51	0.1	1	0	1	0.84	0	0.84	1.84	0	1.84	0	0	1.84	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	1.05	0	1.05	4.31	0	4.31	5.36	0	5.36	0	0.41	0	0.41	0
AK	1985	USGS	2	20	244	128	47	175	19.43	14.5	33.93	0	0	0	33.93	3.39	33.93	193.89	0	0	0	0	0	17.94	17.94	2.69	69	5.13	0	5.13	74.35	175	11.86	67.77	16.99	3.4	0	0	0	0	0	0	0	0	0	0	0.42	0.42	0	0	0	0	0	0.23	0.21	0	0.21	0.44	0.44	0.32	0.76	0.07	0	0.07	1013.12	0	0	0.23	0.21	0	0.21	0.44	0.44	0.32	0.76	0.07	0	0.07	1013.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	7.7	11.1	0	0	0	0	0	3.4	7.7	11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	28.73	0	0	0	0	28.19	0	28.19	22.41	0	22.41	50.6	0	50.6	0	6.16	0	6.16	0
AK	1985	USGS	2	30	0.7	0	0.56	0.56	0	0.03	0.03	0	0	0	0.03	0	0.03	53.57	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0.56	0.03	53.57	0.03	0.01	0	0	0	0.4	0	0.4	0.4	0	0.4	0	0	0.4	0.04	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0.43	0.43	0	0.43	0	0.05	0	0.05	0
AK	1985	USGS	2	40	5.2	0	3.27	3.27	0	0.03	0.03	0	0	0	0.03	0	0.03	9.17	0	0	0	0	0	0.01	0.01	0	1.93	0	0.01	0.01	5.18	3.27	0.02	6.12	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0.98	0	0.98	1.05	0	1.05	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0.07	0	0.07	1.02	0	1.02	1.09	0	1.09	0	0.02	0	0.02	0
AK	1985	USGS	2	50	10.41	2.77	0	2.77	0.14	0	0.14	0	0	0	0.14	0.01	0.14	50.54	0	0	0.07	0	0.07	0.01	0.08	0.01	7.64	0.01	0	0.01	1.31	2.77	0.12	43.32	0.13	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0.22	0.05	0	0.05	0.27	0	0.27	0	0.04	0	0.04	0
AK	1985	USGS	2	60	0.83	0	0	0	0.08	0	0.08	0	0	0	0.08	0.01	0.08	0	0	0	0.08	0	0.08	0.07	0.15	0.02	0.83	0.03	0	0.03	36.14	0	0	0	0.03	0.01	0.32	0	0.32	0.87	0	0.87	1.19	0	1.19	0	0	1.19	0.12	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51	0	0.51	0.87	0	0.87	1.38	0	1.38	0	0.15	0	0.15	0
AK	1985	USGS	2	70	5.01	2.55	0.23	2.78	0.2	0.01	0.21	0	0	0	0.21	0.02	0.21	75.54	0	0	0.01	0	0.01	0.02	0.03	0	2.23	0.05	0	0.05	22.42	2.78	0.12	43.17	0.17	0.03	0.15	0	0.15	0.2	0	0.2	0.35	0	0.35	0	0.05	0.4	0.04	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.04	0.04	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0.25	0	0.25	0.66	0	0.66	0	0.07	0	0.07	0
AK	1985	USGS	2	80	2.6	2.5	0	2.5	1.32	0	1.32	0	0	0	1.32	0.14	1.32	528	0	0	0	0	0	0.17	0.17	0.03	0.1	0	0	0	0	2.5	0.69	276	0.69	0.14	0	0	0	0	0	0	0	0	0	0	0.32	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0.9	0.9	0	0.9	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	0.88	0	0	0	0	1.32	0	1.32	0.9	0	0.9	2.22	0	2.22	0	0.18	0	0.18	0
AK	1985	USGS	2	90	74	53	0	53	7.63	0	7.63	0	0	0	7.63	0.76	7.63	143.96	0	0	0.07	0	0.07	3.49	3.56	0.53	21	0.79	0.13	0.92	43.81	53	3.25	61.32	4.17	0.83	0.04	0	0.04	0	0	0	0.04	0	0.04	0	0.11	0.15	0	0	0	0	0	4	14	0	14	18	18	0.02	18.02	1.8	0	1.8	366.9	0	0	4	14	0	14	18	18	0.02	18.02	1.8	0	1.8	366.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	6	0	6	0.01	0	0.01	0.03	0	0.03	0.03	0	0	0	0	0.03	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	7.24	0	0	0	0	12.56	0	12.56	20.13	0	20.13	32.69	0	32.69	0	3.2	0	3.2	0
