Year	State	StateCode	CountyCode	CountyName	TotalPop	PS-GWPop	PS-SWPop	PS-TOPop	PS-WGWFr	PS-WGWSa	PS-WGWTo	PS-WSWFr	PS-WSWSa	PS-WSWTo	PS-WFrTo	PS-WSaTo	PS-WTotl	PS-DelDO	PS-DelCO	PS-DelIN	PS-DelPT	PS-DelTO	PS-UsLos	PS-PrCap	PS-RecWW	PS-Facil	PS-FacDB	CO-WGWFr	CO-WGWSa	CO-WGWTo	CO-WSWFr	CO-WSWSa	CO-WSWTo	CO-WFrTo	CO-WSaTo	CO-WTotl	CO-PSDel	CO-WDelv	CO-CUsFr	CO-CUsSa	CO-CUTot	CO-RecWW	DO-SSPop	DO-WGWFr	DO-WGWSa	DO-WGWTo	DO-WSWFr	DO-WSWSa	DO-WSWTo	DO-WFrTo	DO-WSaTo	DO-WTotl	DO-SSPCp	DO-PSPop	DO-PSDel	DO-PSPCp	DO-WDelv	DO-CUsFr	DO-CUsSa	DO-CUTot	IN-WGWFr	IN-WGWSa	IN-WGWTo	IN-WSWFr	IN-WSWSa	IN-WSWTo	IN-WFrTo	IN-WSaTo	IN-WTotl	IN-PSDel	IN-WDelv	IN-CUsFr	IN-CUsSa	IN-CUTot	IN-RecWW	IN-Facil	IN-FacDB	PT-WGWFr	PT-WGWSa	PT-WGWTo	PT-WSWFr	PT-WSWSa	PT-WSWTo	PT-WFrTo	PT-WSaTo	PT-WTotl	PT-PSDel	PT-WDelv	PT-CUsFr	PT-CUsSa	PT-CUTot	PT-Power	PT-RecWW	PT-Facil	PT-FacDB	PF-WGWFr	PF-WGWSa	PF-WGWTo	PF-WSWFr	PF-WSWSa	PF-WSWTo	PF-WFrTo	PF-WSaTo	PF-WTotl	PF-PSDel	PF-WDelv	PF-CUsFr	PF-CUsSa	PF-CUTot	PF-Power	PF-RecWW	PF-Facil	PF-FacDB	PG-WGWFr	PG-WGWSa	PG-WGWTo	PG-WSWFr	PG-WSWSa	PG-WSWTo	PG-WFrTo	PG-WSaTo	PG-WTotl	PG-PSDel	PG-WDelv	PG-CUsFr	PG-CUsSa	PG-CUTot	PG-Power	PG-RecWW	PG-Facil	PG-FacDB	PN-WGWFr	PN-WGWSa	PN-WGWTo	PN-WSWFr	PN-WSWSa	PN-WSWTo	PN-WFrTo	PN-WSaTo	PN-WTotl	PN-PSDel	PN-WDelv	PN-CUsFr	PN-CUsSa	PN-CUTot	PN-Power	PN-RecWW	PN-Facil	PN-FacDB	MI-WGWFr	MI-WGWSa	MI-WGWTo	MI-WSWFr	MI-WSWSa	MI-WSWTo	MI-WFrTo	MI-WSaTo	MI-WTotl	MI-CUsFr	MI-CUsSa	MI-CUTot	MI-RecWW	LV-WGWFr	LV-WGWSa	LV-WGWTo	LV-WSWFr	LV-WSWSa	LV-WSWTo	LV-WFrTo	LV-WSaTo	LV-WTotl	LV-CUsFr	LV-CUsSa	LV-CUTot	LS-WGWFr	LS-WGWSa	LS-WGWTo	LS-WSWFr	LS-WSWSa	LS-WSWTo	LS-WFrTo	LS-WSaTo	LS-WTotl	LS-CUsFr	LS-CUsSa	LS-CUTot	LA-WGWFr	LA-WGWSa	LA-WGWTo	LA-WSWFr	LA-WSWSa	LA-WSWTo	LA-WFrTo	LA-WSaTo	LA-WTotl	LA-CUsFr	LA-CUsSa	LA-CUTot	IR-WGWFr	IR-WGWSa	IR-WGWTo	IR-WSWFr	IR-WSWSa	IR-WSWTo	IR-WFrTo	IR-WSaTo	IR-WTotl	IR-CUsFr	IR-CUsSa	IR-CUTot	IR-CLoss	IR-IrSpr	IR-IrMic	IR-IrSur	IR-IrTot	IR-RecWW	HY-InUse	HY-OffFr	HY-OffSa	HY-OffTo	HY-InPow	HY-OfPow	HY-ToPow	HY-InFac	HY-OfFac	HY-ToFac	HY-InFDB	HY-OfFDB	HY-ToFDB	WW-PuRet	WW-PuFac	WW-OtFac	WW-RecWW	WW-ToFac	WW-DBFac	RE-SurAr	RE-Evapo	TO-WGWFr	TO-WGWSa	TO-WGWTo	TO-WSWFr	TO-WSWSa	TO-WSWTo	TO-WFrTo	TO-WSaTo	TO-WTotl	TO-CUsFr	TO-CUsSa	TO-CUTot	TO-RecWW	TO-CLoss	
1995	AK	02	013	Aleutians E. Borough	2.25	0.07	2.16	2.23	0.00	0.00	0.00	0.75	0.00	0.75	0.75	0.00	0.75	0.16	0.13	0.47	0.00	0.76	-0.01	336.32	0.00	6.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.13	0.02	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.23	0.16	71.75	0.16	0.02	0.00	0.02	0.00	0.00	0.00	0.90	1.75	2.65	0.90	1.75	2.65	0.47	3.12	0.20	0.26	0.46	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.35	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.35	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	1.66	0.00	1.66	1.00	0.00	1.00	1.00	0.00	1.00	0.59	3.00	3.00	0.00	6.00	6.00	0.00	0.00	0.00	0.00	0.00	1.65	1.75	3.40	1.65	1.75	3.40	0.24	0.26	0.50	0.00	0.00
1995	AK	02	016	Aleutians W. Census Area	5.26	1.13	3.66	4.79	0.90	0.00	0.90	2.33	0.00	2.33	3.23	0.00	3.23	1.71	0.83	0.31	0.00	2.85	0.38	674.32	0.00	6.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.83	0.83	0.12	0.00	0.12	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.79	1.71	356.99	1.71	0.16	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.31	0.05	0.00	0.05	0.00	11.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.78	0.00	4.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.78	0.00	4.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.03	0.03	0.00	0.03	0.03	0.00	0.03	0.00	0.00	0.00	0.03	0.00	0.03	0.03	0.00	0.03	0.03	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	3.00	11.00	0.00	14.00	14.00	0.00	0.00	0.90	0.00	0.90	2.36	0.00	2.36	3.26	0.00	3.26	0.36	0.00	0.36	0.00	0.00
1995	AK	02	020	Anchorage Borough	251.36	42.53	149.76	192.29	9.85	0.00	9.85	26.51	0.00	26.51	36.36	0.00	36.36	19.11	11.02	1.54	0.36	32.03	4.33	189.09	0.00	2.00	2.00	4.36	0.00	4.36	0.02	0.00	0.02	4.38	0.00	4.38	11.02	15.40	2.31	0.00	2.31	0.00	59.07	3.10	0.00	3.10	0.00	0.00	0.00	3.10	0.00	3.10	52.48	192.29	19.11	99.38	22.21	2.22	0.00	2.22	0.22	0.00	0.22	0.00	0.00	0.00	0.22	0.00	0.22	1.54	1.76	0.26	0.00	0.26	0.00	45.00	45.00	0.09	0.00	0.09	1.01	0.00	1.01	1.10	0.00	1.10	0.36	1.46	0.15	0.00	0.15	717.38	0.00	3.00	3.00	0.09	0.00	0.09	1.01	0.00	1.01	1.10	0.00	1.10	0.36	1.46	0.15	0.00	0.15	717.38	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.04	0.00	0.04	0.05	0.00	0.05	0.05	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.04	0.00	0.04	0.05	0.00	0.05	0.05	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	221.26	0.00	221.26	0.00	184.42	184.42	0.00	1.00	1.00	0.00	1.00	1.00	32.43	3.00	0.00	0.00	3.00	3.00	0.00	0.00	17.63	0.00	17.63	27.58	0.00	27.58	45.21	0.00	45.21	4.99	0.00	4.99	0.00	0.00
1995	AK	02	050	Bethel Census Area	15.53	6.44	1.47	7.91	0.16	0.00	0.16	0.01	0.00	0.01	0.17	0.00	0.17	0.12	0.04	0.01	0.00	0.17	0.00	21.49	0.00	27.00	27.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.04	0.05	0.01	0.00	0.01	0.00	7.62	0.06	0.00	0.06	0.05	0.00	0.05	0.11	0.00	0.11	14.44	7.91	0.12	15.17	0.23	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	49.29	0.00	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	49.29	0.00	20.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.08	0.08	0.00	0.08	0.08	0.00	0.08	0.00	0.00	0.00	0.08	0.00	0.08	0.08	0.00	0.08	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	3.00	0.00	0.00	3.00	3.00	0.00	0.00	0.23	0.00	0.23	0.14	0.00	0.14	0.37	0.00	0.37	0.11	0.00	0.11	0.00	0.00
1995	AK	02	060	Bristol Bay Borough	1.02	0.15	0.00	0.15	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	66.67	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.05	0.00	0.05	0.00	0.00	0.00	0.05	0.00	0.05	57.47	0.15	0.01	66.67	0.06	0.01	0.00	0.01	0.02	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	12.00	12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.01	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.01	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	2.00	7.00	0.00	9.00	9.00	0.00	0.00	0.08	0.00	0.08	0.00	0.00	0.00	0.08	0.00	0.08	0.01	0.00	0.01	0.00	0.00
1995	AK	02	068	Denali Borough	1.88	0.09	0.04	0.13	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	76.92	0.00	2.00	2.00	4.07	0.00	4.07	0.00	0.00	0.00	4.07	0.00	4.07	0.00	4.07	0.61	0.00	0.61	0.00	1.75	0.09	0.00	0.09	0.00	0.00	0.00	0.09	0.00	0.09	51.43	0.13	0.01	76.92	0.10	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.40	0.00	12.40	12.40	0.00	12.40	0.00	12.40	1.24	0.00	1.24	217.72	0.00	1.00	1.00	0.00	0.00	0.00	12.40	0.00	12.40	12.40	0.00	12.40	0.00	12.40	1.24	0.00	1.24	217.72	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.11	0.00	0.11	0.12	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	8.00	0.00	10.00	10.00	0.00	0.00	4.18	0.00	4.18	12.51	0.00	12.51	16.69	0.00	16.69	1.86	0.00	1.86	0.00	0.00
1995	AK	02	070	Dillingham Census Area	4.36	2.39	0.00	2.39	0.21	0.00	0.21	0.00	0.00	0.00	0.21	0.00	0.21	0.12	0.05	0.05	0.00	0.22	-0.01	87.87	0.00	9.00	9.00	0.02	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.02	0.05	0.07	0.01	0.00	0.01	0.00	1.97	0.07	0.00	0.07	0.00	0.00	0.00	0.07	0.00	0.07	35.53	2.39	0.12	50.21	0.19	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.00	0.00	0.00	4.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.34	0.00	6.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.34	0.00	6.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	5.00	2.00	0.00	7.00	7.00	0.00	0.00	0.30	0.00	0.30	0.00	0.00	0.00	0.30	0.00	0.30	0.03	0.00	0.03	0.00	0.00
1995	AK	02	090	Fairbanks N. Star Borough	83.37	46.26	0.00	46.26	7.02	0.00	7.02	0.00	0.00	0.00	7.02	0.00	7.02	2.12	3.66	0.34	0.21	6.33	0.69	151.75	0.00	8.00	8.00	0.45	0.00	0.45	0.02	0.00	0.02	0.47	0.00	0.47	3.66	4.13	0.62	0.00	0.62	0.00	37.11	1.36	0.00	1.36	0.03	0.00	0.03	1.39	0.00	1.39	37.46	46.26	2.12	45.83	3.51	0.35	0.00	0.35	0.09	0.00	0.09	0.00	0.00	0.00	0.09	0.00	0.09	0.34	0.43	0.07	0.00	0.07	0.00	3.00	3.00	4.02	0.00	4.02	12.96	0.00	12.96	16.98	0.00	16.98	0.21	17.19	1.71	0.00	1.71	231.65	0.00	3.00	3.00	4.02	0.00	4.02	12.96	0.00	12.96	16.98	0.00	16.98	0.21	17.19	1.71	0.00	1.71	231.65	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.01	0.00	6.01	6.01	0.00	6.01	0.06	0.00	0.06	0.00	0.01	0.00	0.01	0.03	0.00	0.03	0.04	0.00	0.04	0.04	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.03	0.00	0.03	0.04	0.00	0.04	0.04	0.00	0.04	0.02	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.02	0.01	0.00	0.01	0.00	0.24	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.07	6.00	1.00	0.00	7.00	7.00	0.00	0.00	12.97	0.00	12.97	19.05	0.00	19.05	32.02	0.00	32.02	2.86	0.00	2.86	0.00	0.00
1995	AK	02	100	Haines Borough	2.01	0.02	1.24	1.26	0.00	0.00	0.00	0.29	0.00	0.29	0.29	0.00	0.29	0.18	0.08	0.02	0.00	0.28	0.01	230.16	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08	0.01	0.00	0.01	0.00	0.75	0.02	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.02	26.67	1.26	0.18	142.86	0.20	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.65	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.65	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.20	0.20	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.02	0.00	0.02	0.49	0.00	0.49	0.51	0.00	0.51	0.03	0.00	0.03	0.00	0.00
1995	AK	02	110	Juneau Borough	29.38	22.91	0.29	23.20	4.35	0.00	4.35	0.05	0.00	0.05	4.40	0.00	4.40	2.47	0.83	1.10	0.00	4.40	0.00	189.66	0.00	2.00	2.00	0.06	0.00	0.06	0.00	0.00	0.00	0.06	0.00	0.06	0.83	0.89	0.13	0.00	0.13	0.00	6.18	0.17	0.00	0.17	0.01	0.00	0.01	0.18	0.00	0.18	29.13	23.20	2.47	106.47	2.65	0.27	0.00	0.27	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	1.10	1.11	0.17	0.00	0.17	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.63	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.63	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	446.86	0.00	446.86	0.00	318.10	318.10	0.00	2.00	2.00	0.00	2.00	2.00	4.36	3.00	1.00	0.00	4.00	4.00	0.00	0.00	4.59	0.00	4.59	0.06	0.00	0.06	4.65	0.00	4.65	0.57	0.00	0.57	0.00	0.00
