County,Name,State,District,Division,Year,TotalPop,Public-Pop,Public-SW,Public-GW,Public-Total,Domestic-SW,Domestic-GW,Domestic-Total,Industrial-SW,Industrial-GW,Industrial-Total,Mining-SW,Mining-GW,Mining-Total,Irrigation-SW,Irrigation-GW,Irrigation-Total,Power-SW,Power-GW,Power-Total,Livestock-SW,Livestock-GW,Livestock-Total,Total-SW,Total-GW,Total-Total
1001,Autauga,AL,SAM,SAD,1990,34220,33100,0,4.21,4.21,0,0.08,0.08,29.1,1.3,30.4,0,0,0,0.62,0.07,0.69,0,0,0,0.12,0.22,0.34,29.84,5.88,35.72
1003,Baldwin,AL,SAM,SAD,1990,98280,90690,0,11,11,0,0.57,0.57,0,0.1,0.1,0,0,0,9.69,18.03,27.72,0,0,0,0.1,0.19,0.29,9.79,29.89,39.68
1005,Barbour,AL,SAM,SAD,1990,25420,25160,0,3.03,3.03,0,0.02,0.02,0.3,0.01,0.31,0,0,0,1.21,0.12,1.33,0,0,0,0.17,0.3,0.47,1.68,3.48,5.16
1007,Bibb,AL,SAM,SAD,1990,16580,16410,0,2.81,2.81,0,0.01,0.01,0.2,0.01,0.21,0,0,0,0,0.57,0.57,0,0,0,0.06,0.12,0.18,0.26,3.52,3.78
1009,Blount,AL,SAM,SAD,1990,39250,26080,1.35,1.83,3.18,0,0.99,0.99,0,0.92,0.92,0,0.01,0.01,2,0.22,2.22,0,0,0,1.08,1.92,3,4.43,5.89,10.32
1011,Bullock,AL,SAM,SAD,1990,11040,10820,0,2.24,2.24,0,0.02,0.02,0,0,0,0,0,0,0.99,0.33,1.32,0,0,0,0.12,0.22,0.34,1.11,2.81,3.92
1013,Butler,AL,SAM,SAD,1990,21890,19980,0,2.15,2.15,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.38,0.59,0.21,2.67,2.88
1015,Calhoun,AL,SAM,SAD,1990,116030,114870,1.14,19.65,20.79,0,0.09,0.09,0,0.8,0.8,0,0,0,1.19,0,1.19,0,0,0,0.31,0.54,0.85,2.64,21.08,23.72
1017,Chambers,AL,SAM,SAD,1990,36880,28590,5.95,0,5.95,0,0.62,0.62,15,0,15,0,0,0,0.17,0,0.17,0,0,0,0.08,0.14,0.22,21.2,0.76,21.96
1019,Cherokee,AL,SAM,SAD,1990,19540,12670,0.71,0.04,0.75,0,0.52,0.52,0.1,0,0.1,0,0,0,1.07,0,1.07,0,0,0,0.18,0.31,0.49,2.06,0.87,2.93
