County,Name,State,District,Division,Year,TotalPop,Public-Pop,Public-SW,Public-GW,Public-Total,Domestic-SW,Domestic-GW,Domestic-Total,Industrial-SW,Industrial-GW,Industrial-Total,Mining-SW,Mining-GW,Mining-Total,Irrigation-SW,Irrigation-GW,Irrigation-Total,Power-SW,Power-GW,Power-Total,Livestock-SW,Livestock-GW,Livestock-Total,Total-SW,Total-GW,Total-Total
1001,Autauga,AL,SAM,SAD,2000,43670,39300,0,5.7,5.7,0,2.95,2.95,26.6,1.69,28.29,NA,NA,NA,0,0.31,0.31,0,0,0,NA,NA,NA,26.6,10.65,37.25
1003,Baldwin,AL,SAM,SAD,2000,140420,107610,0,19.7,19.7,0,2.46,2.46,5.7,0.79,6.49,NA,NA,NA,1.89,4.09,5.98,0,0,0,NA,NA,NA,7.59,27.04,34.63
1005,Barbour,AL,SAM,SAD,2000,29040,22270,0,4.85,4.85,0,0.51,0.51,0,0.94,0.94,NA,NA,NA,1.06,0.06,1.12,0,0,0,NA,NA,NA,1.06,6.36,7.42
1007,Bibb,AL,SAM,SAD,2000,20830,17930,0,3.78,3.78,0,0.22,0.22,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,4,4
1009,Blount,AL,SAM,SAD,2000,51020,45900,29.26,2.55,31.81,0,0.38,0.38,0,0,0,NA,NA,NA,0.07,0,0.07,0,0,0,NA,NA,NA,29.33,2.93,32.26
1011,Bullock,AL,SAM,SAD,2000,11710,10540,0,2.5,2.5,0,0.09,0.09,0,0,0,NA,NA,NA,0.55,0,0.55,0,0,0,NA,NA,NA,0.55,2.59,3.14
1013,Butler,AL,SAM,SAD,2000,21400,19170,0,3.35,3.35,0,0.17,0.17,0,0.25,0.25,NA,NA,NA,0,0.14,0.14,0,0,0,NA,NA,NA,0,3.91,3.91
1015,Calhoun,AL,SAM,SAD,2000,112250,99350,3.21,18.8,22.01,0,0.97,0.97,0,1.28,1.28,NA,NA,NA,0.54,0,0.54,0,0,0,NA,NA,NA,3.75,21.05,24.8
1017,Chambers,AL,SAM,SAD,2000,36580,32920,6.2,0.01,6.21,0,0.27,0.27,5.7,0,5.7,NA,NA,NA,0.08,0,0.08,0,0,0,NA,NA,NA,11.98,0.28,12.26
1019,Cherokee,AL,SAM,SAD,2000,23990,21590,1.91,1.2,3.11,0,0.18,0.18,0,0,0,NA,NA,NA,1.5,0.01,1.51,0,0,0,NA,NA,NA,3.41,1.39,4.8
1021,Chilton,AL,SAM,SAD,2000,39590,24860,1.4,2.11,3.51,0,1.1,1.1,0,0.49,0.49,NA,NA,NA,0,0.01,0.01,0,0,0,NA,NA,NA,1.4,3.71,5.11
1023,Choctaw,AL,SAM,SAD,2000,15920,7470,0,1.08,1.08,0,0.63,0.63,50,0,50,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,50,1.71,51.71
1025,Clarke,AL,SAM,SAD,2000,27870,24460,0.29,2.29,2.58,0,0.24,0.24,20,0,20,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,20.29,2.53,22.82
1027,Clay,AL,SAM,SAD,2000,14250,6690,1.1,0,1.1,0,0.57,0.57,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,1.1,0.57,1.67
1029,Cleburne,AL,SAM,SAD,2000,14120,3330,0.59,0.06,0.65,0,0.81,0.81,0,0.62,0.62,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.59,1.49,2.08
1031,Coffee,AL,SAM,SAD,2000,43620,32710,0,7.13,7.13,0,0.82,0.82,0,3,3,NA,NA,NA,1.76,0.05,1.81,0,0,0,NA,NA,NA,1.76,11,12.76
1033,Colbert,AL,LRN,LRD,2000,54980,46610,7.31,0.74,8.05,0,0.63,0.63,82.6,3,85.6,NA,NA,NA,0.63,0.3,0.93,1250.82,0,1250.82,NA,NA,NA,1341.36,4.67,1346.03
1035,Conecuh,AL,SAM,SAD,2000,14090,12680,0,1.56,1.56,0,0.11,0.11,0,0.82,0.82,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,2.49,2.49
1037,Coosa,AL,SAM,SAD,2000,12200,8240,0.34,0.01,0.35,0,0.3,0.3,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.34,0.31,0.65
1039,Covington,AL,SAM,SAD,2000,37630,33800,0,6.63,6.63,0,0.28,0.28,0,0.47,0.47,NA,NA,NA,0.73,0.01,0.74,20.8,0,20.8,NA,NA,NA,21.53,7.39,28.92
